,Recency,Frequency,MonetaryTotal,MonetaryAvg,MonetaryStd,MonetaryMin,MonetaryMax,TotalQuantity,AvgQuantityPerTransaction,MinQuantity,MaxQuantity,CustomerTenureDays,FirstPurchaseDaysAgo,PreferredDayOfWeek,PreferredHour,PreferredMonth,WeekendPurchaseRatio,AvgDaysBetweenPurchases,UniqueProducts,UniqueDescriptions,AvgProductsPerTransaction,NegativeQuantityCount,ZeroPriceCount,CancelledTransactions,ReturnRatio,TotalTransactions,UniqueInvoices,AvgLinesPerInvoice,Age,SupportTicketsCount,SatisfactionScore,RFMSegment,AgeCategory,SpendingCategory,CustomerType,LoyaltyLevel,ChurnRiskCategory,BasketSizeCategory,Churn,MonetaryPerDay,AvgBasketValue,TenureRatio,RegYear,RegMonth,RegDay,RegWeekday,IP_PremierOctet,IP_Privee,AccountStatus_Closed,AccountStatus_Pending,AccountStatus_Suspended,PreferredTimeOfDay_Matin,PreferredTimeOfDay_Midi,PreferredTimeOfDay_Soir,FavoriteSeason_Hiver,FavoriteSeason_Printemps,FavoriteSeason_Été,Region_Amérique du Nord,Region_Amérique du Sud,Region_Asie,Region_Autre,Region_Europe centrale,Region_Europe continentale,Region_Europe de l'Est,Region_Europe du Nord,Region_Europe du Sud,Region_Moyen-Orient,Region_Océanie,Region_UK,WeekendPreference_Semaine,WeekendPreference_Weekend,ProductDiversity_Modéré,ProductDiversity_Spécialisé,Gender_M,Gender_Unknown
Recency,1.0,-0.25934159478607516,-0.130526723654962,-0.0022552284602187275,0.012934102518295916,0.03380981818676516,-0.004830220308700339,-0.13511094925822723,-0.003774143811075018,-0.0036263768069958063,0.0015458550365744816,-0.5155510868157835,0.27178107303654037,-0.004835888296060171,-0.00023907347250474295,-0.3975732743560843,-0.04146055457552831,-0.08518529556352179,-0.30266200175847907,-0.3026495965112798,-0.02496430598206223,-0.14251428857111548,-0.041226835616288746,-0.14251428857111548,0.14292004224268284,-0.2069801870380516,-0.25934159478607516,-0.1022840593736725,-0.0018746382536719327,-0.013452035546113962,0.02753806699851725,-0.6950852526614163,-0.00935917760479686,-0.44454763096719707,0.49619866421659753,-0.5060167806373193,0.8443196730637604,-0.0674546669846306,0.8589508994415903,-0.08879164611646995,-0.05965299594407988,0.7898280346528861,-0.13344292491430804,-0.04601828130222416,0.0013436759789922132,-0.010320344613474865,-0.00952301120910483,0.001404280088155355,-0.019067094201510197,0.00039717849457823436,0.024084800583110418,0.024338647722179967,-0.04079728906303864,0.025082466821613743,0.33405199844362515,0.25712614957537194,-0.030330340954075108,0.016340660477145504,0.022061030413259217,0.01024657630087857,0.005079410854497244,0.011513430540213972,-0.012521744459211299,0.04112667121462463,-0.03210776309564558,0.028911684468414214,0.05519824226116427,0.003685191272206194,-0.00655527126221281,-0.24923425862510587,0.005501237800689988,0.25839139596433547,0.19825564069593696,-0.006206434146033038,0.007551799225343812
Frequency,-0.25934159478607516,1.0,0.5657707389128501,0.03184922759477349,-0.0017692832803563592,-0.0440246493542842,0.0327698896293915,0.5738798328033923,0.0006163987871858676,-0.020835901663355277,0.02717597183784455,0.4716966271909362,0.3090143944361126,-0.014977108853751985,-0.03986018991933565,0.04425603985421796,-0.022008823085949897,-0.02628319190952851,0.6956634271193887,0.699388461279166,-0.15540414372447478,0.6983660868812418,0.2494057764069112,0.6983660868812418,0.02573403844858088,0.7780952277520202,1.0,-0.04551851066593542,0.029652866301728097,-0.0024580180964693028,0.00028769012028743226,0.4552556785242473,0.03901046524364967,0.44471381660055803,0.06948678115805206,0.4510509424828467,-0.2938499821891312,0.07794410204733346,-0.22261633436396056,0.5205496515748441,0.0839349654001709,-0.22311108074864508,-0.22730654034223122,0.034389333287557416,0.011467902473680267,0.012984764113236505,0.0005441449069773969,-0.01509525841767507,0.011537907798547176,-0.012052867680523455,-0.012069769242862235,0.019750110236478654,0.02491868222902605,-0.02036364655034927,0.04984844296993942,-0.03038396117495397,-0.0009079746170930218,-0.015821327074158786,-0.0066015988163998,-0.004150207414571036,0.167015657015387,-0.014282172585924187,0.008802404300365718,-0.0017420988682629933,-0.009363910627655575,-0.01564529047066667,-0.018846556141927113,0.014224726515290248,-0.017070799632243058,0.36024623399965783,-0.07118656566162786,-0.18572597501952798,-0.09640425828443287,0.006932089236565755,0.008770179833278961
MonetaryTotal,-0.130526723654962,0.5657707389128501,1.0,0.1490852823793913,0.0034686220141243364,0.09017327972478255,0.061535572760102686,0.9216319792539674,0.031053999384387212,0.013841859406820683,0.044973911756468206,0.23443668583947846,0.15411840633093624,-0.027851689227073054,-0.03908544998834843,0.022167610197354044,-0.030997825809263038,-0.024104429884293635,0.41130524632756305,0.41552439251907153,-0.05139440629253505,0.38289440782909323,0.3936937471458032,0.38289440782909323,0.03090370987990279,0.44610118964387707,0.5657707389128501,0.014267654534537969,0.009197358099654671,0.028487313524606574,0.001358880304145173,0.23583544640385223,0.014349331273942388,0.26432973189927894,0.05901150081764388,0.2171086080963266,-0.1496232135081219,0.12961578828674902,-0.11169822821754108,0.8738923425118373,0.42805894186932175,-0.09999546385479409,-0.117588357959542,0.007016773354521354,0.027467406603410516,0.004566505634631409,0.017444231493915236,-0.01001578796069995,0.0002463672757387394,-0.0040583928547599365,-0.015934119297001337,0.04797949223582402,-0.017324179961808402,-0.015396451231235899,0.012220546039623057,-0.028568550756089398,0.02294738860323662,-0.006494798016397026,-0.0014309993392839688,0.016692676921307034,0.15562490901012577,-0.006166268255067313,0.039334252611764854,-0.000478260087462796,0.012377873486481986,-0.005251660239453339,-0.0035567328287959025,0.0744404559930672,-0.06988895871685223,0.15122149387101189,-0.04461139665899575,-0.09515607679423611,-0.04682338654131305,-0.0014252647362685425,0.015823382865571424
MonetaryAvg,-0.0022552284602187275,0.03184922759477349,0.1490852823793913,1.0,0.009814425904227172,0.9342817277412118,0.06471664976152089,0.12839463457762554,0.2620435759303913,0.26918909196200563,0.05002427416691118,0.0045550138082403125,0.003190266788348416,-0.012910412215626003,-0.043445153027507635,-0.013165986328550454,-0.03784266150286443,0.255074609243133,-0.05891036718143905,-0.058201809982588795,-0.10821372407174414,-0.0015797430558801135,0.00961367687837213,-0.0015797430558801135,-0.1466249715734748,-0.026530620820770425,0.03184922759477349,-0.10929448997953191,-0.001919518466566056,-0.0065788660087918545,0.010096700420804516,0.04857709235266069,-0.0021068773054425845,0.12805459664078003,0.0217514779043318,0.0017224163412623218,-0.004064047770230976,0.2038030950232471,-0.004281229195065108,0.10538548590882121,0.42675837376334336,-0.006343095563915692,-0.0011417938580132242,-0.010453431499113966,0.023587957809188917,-0.025027419441041976,0.018745770215279078,-0.00023623148008126795,0.0017094103477059426,-0.015572078172325728,0.011402297946948794,0.04529815307026927,-0.013858128317482992,-0.011057565751711237,0.012382161429270101,0.027763221101476592,-0.009425250773353521,0.016691871897445948,0.0008196021313572683,0.053108108253497564,-0.0007056724465189144,0.0016588661675997424,-0.01637874579762667,0.0022122045593322036,0.007534629913712319,-0.0050276408110795315,-0.005773395726073482,0.005027466495125043,0.0018955312103362365,-0.009767435592226835,-0.033516246470936886,0.029708328322970608,0.1646572143365386,0.004682637930373148,-0.005727420108611154
MonetaryStd,0.012934102518295916,-0.0017692832803563592,0.0034686220141243364,0.009814425904227172,1.0,0.1008758563910839,0.9661346474200498,0.0017444338566706657,0.0019383770084085725,0.046102672832516,0.9725849496075486,-0.0033858024376650386,0.0072424218083583305,-0.011228387175597989,-0.02637623971667753,-0.028530974519729378,-0.012707104994280717,0.06721112814249312,-0.017507105913634174,-0.017379662432940535,-0.027755759518848074,-0.000663461205628025,-0.0006847054537869783,-0.000663461205628025,0.07703606737947559,-0.009128830446960223,-0.0017692832803563577,-0.02798897591328807,-0.02516888388274515,-0.01935228249484582,0.014459534076884226,-0.019929064358159103,-0.003983902696784873,-0.03784138705372001,-0.005629488184132388,0.001827419424195685,0.0018561434938003216,-0.02443518268238516,0.008512026982575575,0.0030372792178540156,-0.007131546755987151,0.021160281951882493,0.0032649074083656387,-0.012494667276428001,0.02634580347300338,-0.0016497957086960473,0.016193047767447517,-0.002446260373694044,-0.003559790459180574,-0.00451439237347263,-0.004122738056356646,0.029109312138417557,-0.01630677935069302,-0.0031594263843690096,0.009804849007810982,0.018673197130090576,-0.0036082438238800854,-0.0011350068142674538,-0.00031377362170197006,0.005756592641024432,-0.0008139070265140699,-0.0014496421379229802,-0.006025688788347751,-0.000364809096825814,-0.0018357424618755359,-0.001955626171680902,-0.0011363330484006995,-0.0007210209038328744,0.00623984439074628,-0.010700706518131738,-0.009710997267765902,-0.011163962210689687,0.09185998993659023,0.010295819355594834,0.0011481309424967358
MonetaryMin,0.03380981818676516,-0.0440246493542842,0.09017327972478255,0.9342817277412118,0.1008758563910839,1.0,0.5906713454012067,0.08327441247726175,0.28938995455690353,0.28043766247816826,0.2632130635501803,-0.05856411068743438,-0.028066613320852356,-0.018733034251640593,-0.034739171550983695,-0.011361464494945205,-0.04048927992778512,0.3373511752508703,-0.0957169803426312,-0.09554214638402114,-0.11153348086311,,-0.007679761063876279,,,-0.07505146278160472,-0.04402464935428419,-0.11283100854602794,-0.007086694368157588,0.007013866754119602,0.007345636913266016,-0.007732528418012621,0.00914837038854253,0.06235760212950161,0.05275779992514524,-0.062405626409501355,0.029320687857382222,0.11683372493336759,0.030396758503901007,0.06485314898686217,0.3091666833287722,0.047179328336248244,0.00434982822813795,0.014813370089231321,0.02510517214828534,-0.015345190740669572,0.0016405187587055178,-0.002082195035013125,0.0034912327139875817,-0.007896032974077372,-0.006785893739654272,0.027879659993038444,-0.0028783306052822676,-0.012232471449370093,0.03686200237116966,0.022951856860016343,-0.009346809967122822,0.033061668241869645,-0.00013141109730034127,0.006249867054504874,-0.002936815866008662,-0.0017439652039026397,-0.018536509494801116,-0.0004410562590049944,-0.0058543010449376735,-0.006189938111200996,-0.003398113001177586,-0.0017829904983907973,0.01437424498786003,-0.0317733837816453,-0.0349419377247045,-0.025311459719468944,0.29084905792703114,0.036356434170285085,-0.022168447318390808
MonetaryMax,-0.004830220308700339,0.0327698896293915,0.061535572760102686,0.06471664976152089,0.9661346474200498,0.5906713454012067,1.0,0.05603990995218317,0.016554149957263654,0.16939343659135012,0.9209753507966375,0.016371715814195657,0.014319933736615834,-0.012505127881518927,-0.03034949419097889,-0.023256254447075447,-0.016997457286725404,0.08168236743904711,-0.0017647714011152036,-0.0014532785641813907,-0.03653656413221808,0.019448140718324264,0.018395245848645613,0.019448140718324264,0.06472714574887874,0.009164146141974555,0.03276988962939151,-0.0337977225523642,-0.019912771834702577,-0.015805198479112208,0.01104986990757532,0.003979325267273478,0.0049442989855854255,-0.007802121814628469,-0.007403678704312022,0.021721955873058477,-0.012970859323288925,-7.114068775513754e-05,-0.004204860205495962,0.043691194874410894,0.03564542276007801,0.0034773215548144568,0.001497850677660436,-0.012398312114932608,0.02759500017675804,-0.00824581500717493,0.015004195912344384,-0.0032586676460339605,-0.004004751953099185,-0.005887028862931034,-0.003939881078524483,0.03301168722948944,-0.01799452976874782,-0.004754119806715991,0.002681436831265525,0.022463040720178008,0.0010501428864677252,-0.0001588636576782509,-5.239417255906559e-05,0.019397363864163516,0.005582757639278207,-0.0018225395291745,-0.0024475265955595355,-0.000329603073224373,0.0008405520040384551,-0.0015880065815112089,-0.0014896741516042147,0.002588750681758644,-0.0013029556733402936,-0.0025863882109738137,-0.014563578954852765,-0.014958046682047746,0.09043018022618544,0.01498598265611944,-0.002497243942845102
TotalQuantity,-0.13511094925822723,0.5738798328033923,0.9216319792539674,0.12839463457762554,0.0017444338566706657,0.08327441247726175,0.05603990995218317,1.0,0.08531185061923202,0.26264749682435945,0.058781407555016166,0.23679666523227955,0.15291156861515837,-0.02211403681330172,-0.04033665382419811,0.015157421942085704,-0.03216311624535191,-0.019194562180225288,0.4404392338161432,0.4443381036956586,-0.048620247499436164,0.39686707750956696,0.4673736637999654,0.39686707750956696,0.02735860303808361,0.46135214925400864,0.5738798328033923,0.01540390465764106,0.01860034046751987,0.022973799038695144,-0.00359788005790943,0.23965647080687466,0.024929071936994156,0.26687043723242226,0.0557206066746948,0.2179110592378292,-0.15207454783267316,0.15307036945606645,-0.11533590947666252,0.7574769639467918,0.3903126187886541,-0.10354601727038129,-0.11539937812367736,0.0157384537572593,0.028247178064897176,-0.002814799487203976,0.018403203260258214,-0.01023256661482078,-0.001188907118290935,-0.004123055552911666,-0.010748622291871247,0.04640575489444818,-0.010835689680900321,-0.014536799843036899,0.008850212931136364,-0.021181604572039155,0.035225340430328544,-0.006036172738564555,-0.0025165204262012904,0.021882527871862636,0.1484406729482799,-0.0075476679255205665,0.04092504245718741,-0.0015580008920293856,0.01643984826867383,-0.009011841458337095,-0.004806894504890871,0.08006380481840976,-0.07158491767891603,0.16087954398528623,-0.047052575291291095,-0.09328291550821052,-0.0432328875163945,-0.00022209631904418392,0.00874589146386796
AvgQuantityPerTransaction,-0.003774143811075018,0.0006163987871858676,0.031053999384387212,0.2620435759303913,0.0019383770084085725,0.28938995455690353,0.016554149957263654,0.08531185061923202,1.0,0.9854568656962085,0.13700015003350374,-0.015961042610126795,-0.021166807996391132,0.0009081597452121685,-0.0013719371097984795,-0.0004617983846404856,-0.0238171195282091,0.2736146044985144,-0.03821052221462256,-0.03792602320859144,-0.061463858229573134,-0.007330064597264752,0.10744987613256338,-0.007330064597264752,-0.012409136075091682,-0.019389763295581904,0.0006163987871858644,-0.06293033612941967,-0.01068221142427875,-0.010656551573963302,0.0007374635253321646,-0.0035812489161068666,-0.01230136819108868,0.009041601290179535,0.02287446209302461,-0.017345713058889878,-0.00023814101807317057,0.111968583335199,0.0025275216375114564,0.01762620263829919,0.11532192271896984,0.003919874671879121,0.005876328550409882,0.020874001583753875,-0.006506765774351417,-0.00923090456248729,0.007698545359685296,-0.003831052283610587,-0.004692709197897955,-0.002248869935826146,0.007009013955772759,0.007460546188171951,-0.013016864941046159,-0.0060144698539410174,-0.00425051563510453,0.007539347965010701,0.0019152873621013085,0.00968681000118729,-0.000799022050293049,0.021244850411433005,-0.0015256779816465208,-0.0020382645093508863,-0.011383113508440429,-0.0002667630107723955,-0.0009812890012929592,-0.004867865816510743,-0.0031669610800161368,0.0004362998450033486,0.007711954447665321,-0.012568322823270245,-0.021334489033244135,-0.00029969461356269857,0.14852772053375057,0.007173456915579959,0.0016813813627813835
MinQuantity,-0.0036263768069958063,-0.020835901663355277,0.013841859406820683,0.26918909196200563,0.046102672832516,0.28043766247816826,0.16939343659135012,0.26264749682435945,0.9854568656962085,1.0,0.8881802098146143,-0.025363328908439883,-0.028234494876986194,0.010717778730801843,0.009100682914706797,0.010249718304585998,-0.018875125715543586,0.3063414412098939,-0.04048808040237515,-0.040418513137999226,-0.04901700390409359,,0.3237915031905196,,,-0.03128824138776583,-0.020835901663355277,-0.04894141563432641,-0.015371317198361323,-0.014535084900095287,-0.0009812928315195563,-0.01082995220372549,-0.01844966235801538,-0.014757948073236741,0.025586384001706295,-0.027447104320617893,-0.008137027856243827,0.07087599821077586,-0.00014522840304485033,0.0030170584897704507,0.0715857793655267,0.006499901305635174,0.009437018284860326,0.030574908321834498,-0.0053734118419902326,-0.0034470729504790056,0.0027727412327495037,-0.0043862190801614714,-0.004033714986225542,-0.004668681556531253,-0.003301419852738277,-0.0008307760935533616,-0.017445631501482827,-0.005481775526752758,-0.004145588246468495,0.004905812519601166,-0.006777045620603371,0.013133816230232215,-0.0008813929327372268,0.0026023051828628022,-0.0018373142670726327,-0.0030395794462506564,-0.01138742755154199,-0.0005872429708943587,-0.00472937445109059,-0.0036457197548319252,-0.002470065766054736,-0.001774809101525585,0.011203497491145017,-0.014037554919863832,-0.016412061830679604,-0.02375499526484283,0.15029074520948102,0.00874300406699033,0.0052026935065250515
